Accuracy,Precision,Recall,F1 Score,AUROC,Rejected Unknowns,Race
0.9713541666666666,0.9471153846153846,1.0,0.9728395061728397,0.995975,16,Black_augmented
0.9583333333333334,0.9255813953488372,1.0,0.961352657004831,0.9951,16,Indian_augmented
0.9585492227979274,0.925925925925926,1.0,0.9615384615384616,0.997475,14,East_Asian_augmented
0.9633507853403142,0.9345794392523364,1.0,0.966183574879227,0.999075,18,Southeast_Asian_augmented
0.946153846153846,0.9049773755656108,1.0,0.9501187648456058,0.999725,10,Latino_Hispanic_augmented
0.9649595687331536,0.949238578680203,0.9842105263157894,0.96640826873385,0.984175,29,Black_augmented
0.9731182795698924,0.9504950495049505,1.0,0.9746192893401014,0.9935,28,Indian_augmented
0.9586776859504132,0.9402985074626866,0.984375,0.9618320610687024,0.987325,37,East_Asian_augmented
0.96514745308311,0.937799043062201,1.0,0.9679012345679012,0.994975,27,Southeast_Asian_augmented
0.9607329842931938,0.9295774647887324,1.0,0.9635036496350364,0.9912125,18,Latino_Hispanic_augmented
