Accuracy,Precision,Recall,F1 Score,AUROC,Rejected Unknowns,Best Threshold,Race
0.525,0.5347222222222222,0.385,0.4476744186046512,0.582425,0,0.5,Black_augmented
0.6358381502890174,0.775,0.36470588235294116,0.49600000000000005,0.5950249999999999,227,0.55,Indian_augmented
0.5842105263157895,0.68,0.4811320754716981,0.56353591160221,0.5706749999999999,210,0.55,East_Asian_augmented
0.55,0.5588235294117647,0.475,0.5135135135135136,0.558075,0,0.5,Southeast_Asian_augmented
0.5825,0.5932203389830508,0.525,0.5570291777188329,0.616875,0,0.5,Latino_Hispanic_augmented
