Race,Accuracy,Precision,Recall,F1 Score,AUROC,Best Threshold,Rejected Unknowns
White,0.5425,0.5929978118161926,0.271,0.3719972546328072,0.577495,0.5,0
Black,0.7777777777777778,0.7692307692307693,0.8333333333333334,0.8,0.647675,0.7,355
Indian,0.6614583333333334,0.8072289156626506,0.5775862068965517,0.6733668341708542,0.6651750000000001,0.6,208
East_Asian,1.0,1.0,1.0,1.0,0.6405,0.75,393
Southeast_Asian,0.5575,0.6619718309859155,0.235,0.3468634686346863,0.651875,0.5,0
Latino_Hispanic,0.9,0.8888888888888888,1.0,0.9411764705882353,0.673525,0.8,380
