Race,Accuracy,Precision,Recall,F1 Score,AUROC,Best Threshold,Rejected Unknowns
Black_augmented,0.8247422680412371,0.808695652173913,0.7622950819672131,0.7848101265822783,0.8396,0.95,109
Indian_augmented,0.8200692041522492,0.8818181818181818,0.7132352941176471,0.7886178861788619,0.843925,0.95,111
East_Asian_augmented,0.8188405797101449,0.8014705882352942,0.8257575757575758,0.8134328358208954,0.838825,0.95,124
Southeast_Asian_augmented,0.8428571428571429,0.8391608391608392,0.851063829787234,0.8450704225352114,0.850725,0.95,120
Latino_Hispanic_augmented,0.8523489932885906,0.8992248062015504,0.7891156462585034,0.8405797101449275,0.87305,0.95,102
