Accuracy,Precision,Recall,F1 Score,AUROC,Rejected Unknowns,Race
0.985878661087866,0.9903225806451612,0.9808306709265175,0.985553772070626,0.996956,88,White_augmented
0.9921875,0.9846153846153848,1.0,0.992248062015504,0.99705,16,Black_augmented
0.9974489795918368,1.0,0.9948453608247424,0.9974160206718348,0.999875,8,Indian_augmented
0.9899244332493704,0.9803921568627452,1.0,0.99009900990099,0.999075,3,East_Asian_augmented
0.9974683544303796,0.995,1.0,0.9974937343358397,0.9999,5,Southeast_Asian_augmented
1.0,1.0,1.0,1.0,1.0,3,Latino_Hispanic_augmented
