Race,Accuracy,Precision,Recall,F1 Score,AUROC,Best Threshold,Rejected Unknowns
White,0.8953068592057761,0.8739669421487604,0.9420935412026726,0.9067524115755627,0.8342440000000001,0.95,1169
Black,0.964,0.9626168224299065,0.9537037037037037,0.958139534883721,0.93925,0.95,150
Indian,0.9272727272727272,0.9313725490196079,0.9134615384615384,0.9223300970873786,0.8846999999999999,0.95,180
East_Asian,0.8939393939393939,0.8715083798882681,0.968944099378882,0.9176470588235295,0.911075,0.95,136
Southeast_Asian,0.9437751004016064,0.9578947368421052,0.900990099009901,0.9285714285714285,0.94255,0.95,151
Latino_Hispanic,0.9523809523809523,0.9746835443037974,0.8953488372093024,0.9333333333333332,0.9472750000000001,0.95,169
