Race,Accuracy,Precision,Recall,F1 Score,AUROC,Best Threshold,Rejected Unknowns
White_augmented,0.8607142857142858,0.9730538922155688,0.6360078277886497,0.7692307692307692,0.91273,0.95,600
Black_augmented,0.98220640569395,0.975609756097561,0.9836065573770492,0.979591836734694,0.96975,0.95,119
Indian_augmented,0.7921052631578948,0.9469026548672568,0.5944444444444444,0.7303754266211604,0.92615,0.7,20
East_Asian_augmented,0.946043165467626,0.9225806451612903,0.9794520547945206,0.9501661129568107,0.942975,0.95,122
Southeast_Asian_augmented,0.9652996845425869,0.9693251533742332,0.9634146341463414,0.966360856269113,0.96795,0.95,83
Latino_Hispanic_augmented,0.965034965034965,0.9484536082474226,1.0,0.9735449735449735,0.983625,0.95,114
