Accuracy,Precision,Recall,F1 Score,AUROC,Rejected Unknowns,Race
0.8641114982578397,0.8125,0.981132075471698,0.8888888888888888,0.885425,113,Black_augmented
0.8395522388059702,0.7868852459016393,0.972972972972973,0.8700906344410876,0.858325,132,Indian_augmented
0.8630705394190872,0.8370786516853933,0.9738562091503268,0.9003021148036254,0.89015,159,East_Asian_augmented
0.9010989010989012,0.8810810810810811,0.9702380952380952,0.923512747875354,0.9132,127,Southeast_Asian_augmented
0.8808664259927798,0.8629441624365483,0.9659090909090908,0.9115281501340482,0.917825,123,Latino_Hispanic_augmented
0.8501529051987767,0.7931034482758621,0.9583333333333334,0.8679245283018867,0.8914249999999999,73,Black_augmented
0.823170731707317,0.8089887640449438,0.8571428571428571,0.8323699421965318,0.86365,72,Indian_augmented
0.8513931888544891,0.8333333333333334,0.9011627906976744,0.8659217877094973,0.877475,77,East_Asian_augmented
0.888235294117647,0.8797814207650273,0.9096045197740112,0.8944444444444445,0.9153,60,Southeast_Asian_augmented
0.8978978978978979,0.8802083333333334,0.9388888888888888,0.9086021505376344,0.926875,67,Latino_Hispanic_augmented
0.8078291814946619,0.7589285714285714,1.0,0.8629441624365483,0.87835,119,Black_augmented
0.7878787878787878,0.75,0.9615384615384616,0.8426966292134831,0.8323750000000001,136,Indian_augmented
0.844106463878327,0.8047619047619048,1.0,0.8918205804749341,0.8942,137,East_Asian_augmented
0.872791519434629,0.8390243902439024,0.9828571428571428,0.9052631578947368,0.909275,117,Southeast_Asian_augmented
0.8888888888888888,0.855,0.994186046511628,0.9193548387096774,0.924925,130,Latino_Hispanic_augmented
0.8825622775800712,0.8465909090909091,0.9612903225806452,0.9003021148036254,0.89685,119,Black_augmented
0.8629032258064516,0.8613138686131386,0.8872180451127819,0.874074074074074,0.85475,152,Indian_augmented
0.864963503649635,0.8370786516853933,0.9490445859872612,0.8895522388059702,0.8922,126,East_Asian_augmented
0.9081272084805654,0.8863636363636364,0.9629629629629628,0.923076923076923,0.9225,117,Southeast_Asian_augmented
0.9233449477351916,0.8908045977011494,0.9810126582278481,0.933734939759036,0.9308,113,Latino_Hispanic_augmented
